,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
133,18428806,12809976,"[16846289, 14203725, 16432492, 16432507, 16432512, 14048538, 5899328, 14045489]",10691109,"[19796037, 18356963, 18428808, 18428811, 18428812, 18428809, 18428807, 24150887]"
134,18647743,4731383,"[14086309, 5899328, 14238231, 19111930]",5442739,"[19229311, 18385418, 18647744, 18647737]"
135,18648072,11065546,"[14199565, 14087339, 14203725, 16512204, 17577480, 17577485, 5899328, 17577491, 17577496, 17577620, 17577626, 14473119, 4006265, 17577871, 12968171]",12979481,"[18331295, 18371420, 18357455, 18648073, 21734569, 21734570, 18385644, 21734571, 21734572, 21734661, 21734665, 16166384, 21734681, 21735110, 62103198]"
136,19447664,10398171,"[14475334, 16433395, 19139253, 5899328]",10514913,"[14475337, 16166769, 19970602, 14473438]"
137,19568657,10745937,"[8026224, 8026224, 5899328, 14046720, 8026224, 14087107, 19111930]",13866881,"[19759064, 19762203, 5903532, 19568658, 19568659, 19568660, 18384640]"
138,19570465,7280270,"[14203725, 14048538, 14045489, 5899328]",10685895,"[18356962, 19796028, 24150887, 19570466]"
139,19598169,5904833,"[19133937, 5899328, 16798544, 19111930, 5899328]",19598170,"[19598161, 18734636, 19598171, 18384694, 25279407]"
140,19598321,10089193,"[14087107, 16798726, 17436137, 17436142, 17436147, 17436152, 4038469, 7992966, 14088451, 5899328]",10893040,"[18733815, 19598322, 21506588, 21506589, 21506590, 21506591, 21506586, 21506587, 23903212, 23996447]"
141,19614324,4732074,"[14194234, 16804585, 16804590, 16804595, 5899328, 16804601]",6511189,"[19614296, 19614325, 19614326, 19614327, 18385445, 19614328]"
142,19792658,10089193,"[10649843, 16433395, 16844484, 14046720, 5899328, 19210236, 5899328, 19210314, 19210325, 20146939]",13011636,"[19792649, 19792659, 19792660, 18735579, 18385564, 24120090, 24120100, 24120154, 24120155, 24120091]"
143,19794219,10578372,"[4488976, 16845657, 16845664, 14047554, 14087107, 13868180, 13868186, 5899328]",13868168,"[19794214, 19794218, 19794220, 19752616, 19616023, 13868183, 13868189, 18297984]"
144,19897758,4731383,"[4731383, 8237648, 6463937, 4213417, 5899328]",5442708,"[19897760, 19897761, 7165212, 19897759, 18385350]"
145,19970895,16512969,"[16889118, 3546313, 16889124, 19139253, 5899328, 20717138, 20717143, 20717148]",5438329,"[19970896, 18792862, 19970897, 19970894, 5904706, 62133248, 62133249, 62133250]"
146,19970904,7280270,[5899328],15266600,[18297972]
147,21334318,4732074,"[17347337, 17347347, 16136891, 5899328]",6511850,"[21334319, 21334321, 21334320, 18385355]"
148,21734433,11065546,"[17577406, 17577411, 16433395, 17577417, 5899328]",13278853,"[21734434, 21734436, 18690496, 21734437, 21734441]"
149,22587872,4070588,"[7992966, 18161736, 18161741, 5899328, 19149055, 19133804, 19133808]",5866815,"[16540919, 22587873, 22587874, 23996337, 24027988, 18753205, 18822789]"
150,22587907,4070588,"[7992966, 5899328, 14206438]",5866693,"[22587906, 5866707, 5866700]"
151,23954215,7280270,"[19111158, 19111163, 14048876, 19111172, 5899328]",10689701,"[23954216, 23954217, 18372591, 23954220, 18392720]"
152,23996330,16512969,"[19133797, 5899328]",17950031,"[23996331, 5904694]"
153,23996364,5904833,"[5899328, 19133846, 14046720]",23996365,"[23996362, 23996367, 23996366]"
154,23996439,10089193,"[19133958, 19133962, 19133969, 5899328, 19216615]",10893035,"[23996440, 23996441, 23996442, 23996438, 24127607]"
155,24009293,4840830,"[14046720, 19139220, 19139225, 3550783, 5899328]",4841780,"[24009292, 24009295, 24009296, 24009294, 18385532]"
156,24028237,10089193,"[19149599, 4538738, 4070588, 5899328]",13011535,"[24028239, 12968215, 24028234, 24028238]"
157,24120192,10089193,"[19210342, 4991402, 19210353, 19210358, 5899328]",24120191,"[24120193, 5157667, 24120195, 24120196, 24120194]"
158,24120403,19903629,"[8480969, 19210633, 5899328, 10089193]",8480959,"[8480973, 24120404, 8480966, 8480980]"
