skeleton_id," ""neuron_name""",,,,,
14949489," ""SNs",A1L Sensory,"14949489""",,,
15199830,"""A02a",A1R,NB2-1,Ventral,"15199830""",
15233041,"""A02b",A1R,NB2-1,Ventral,"15233041""",
15264419,"""A06b2",A1R,NB5-2,Dorsal,"15264419""",
15518548," ""SNs",A1R Sensory,"15518548""",,,
15551560," ""SNs",A1R Sensory,"15551560""",,,
15555303,"""A03y5",A1R,NB7-1,Ventral,"15555303""",
15560233,"""A12c8",A1L,NB5-2,Ventral,"15560233""",
15895346,"""A12c8",A1R,NB5-2,Ventral,"15895346""",
16009772,"""A08c2",A1L,NB3-3,Ventral,"16009772""",
16042066,"""A03q",A1R,NB7-1,Ventral,"16042066""",
16068602," ""SNs",A1L Sensory,"16068602""",,,
16112458,"""A03f?",A1L,NB7-1,Ventral,"16112458""",
16119910,"""A06g",A1R,NB5-2,Dorsal,"16119910""",
16181494," ""MNs",T3R Motor Neurons,MNs,"16181494""",,
16226512,"""A01c1",A1R,NB1-2,Dorsal,"16226512""",
16229844," ""SNs",A1L Sensory,"16229844""",,,
16232990," ""SNs",A1L Sensory,"16232990""",,,
16268751,"""A03b?",A1R,NB7-1,Ventral,"16268751""",
16272893,"""A03b?",A1L,NB7-1,Ventral,"16272893""",
16303262," ""SNs",A1L Sensory,"16303262""",,,
16311502," ""SNs",A1L Sensory,"16311502""",,,
16311520," ""SNs",A1L Sensory,"16311520""",,,
16311532," ""SNs",A1L Sensory,"16311532""",,,
16311589," ""SNs",A1L Sensory,"16311589""",,,
16312897," ""SNs",A1R Sensory,"16312897""",,,
16312904," ""SNs",A1R Sensory,"16312904""",,,
16312925," ""SNs",A1R Sensory,"16312925""",,,
16312937," ""SNs",A1R Sensory,"16312937""",,,
16312956," ""SNs",A1R Sensory,"16312956""",,,
16312967," ""SNs",A1R Sensory,"16312967""",,,
16313976," ""SNs",A1R Sensory,"16313976""",,,
16322359," ""SNs",A1R Sensory,"16322359""",,,
16330265,"""A19i",A1R,NB7-4,Ventral,"16330265""",
16433395," ""MNs",T3L,T3L Motor Neurons,MNs,"16433395""",
16504350,"""A01h2",A1L,NB4-1,Ventral,"16504350""",
16528100,"""A03y5",A1L,NB7-1,Ventral,"16528100""",
16531827,"""A03q",A1L,NB7-1,Ventral,"16531827""",
16713121," ""MNs",A1R,A1R Motor Neurons,MNs,"16713121""",
17114293,"""A27i",A1L,NB4-1,Ventral,"17114293""",
17346787," ""SNs",A1R Sensory,"17346787""",,,
17399735,"""A08s",A1L,NB3-3,Ventral,"17399735""",
17435371,"""A06l",A1R,NB5-2,Dorsal,"17435371""",
17872154,"""A01d2",A1R,NB1-2,Dorsal,"17872154""",
17970304,"""A03x2",A1L,NB7-1,Dorsal,"17970304""",
18145093,"""A02g",A1R,NB2-1,Dorsal,"18145093""",
18277211,"""A12c9",A1R,NB5-2,Ventral,"18277211""",
18418512,"""A06l",A1L,NB5-2,Dorsal,"18418512""",
18458734,"""A06k",A1L,NB5-2,Ventral,"18458734""",
18509063,"""A06i",A1L,NB5-2,Ventral,"18509063""",
18769231,"""A02j",A1L,NB2-1,Dorsal,"18769231""",
18963687,"""A03x1",A1L,NB7-1,Dorsal,"18963687""",
19111930," ""MNs",T3L Motor Neurons,MNs,"19111930""",,
19139253," ""MNs",T3L Motor Neurons,MNs,"19139253""",,
19703140,"""A12c9",A1L,NB5-2,Ventral,"19703140""",
20361774,"""A01r",A1R,NB1-2,Ventral,"20361774""",
20810718,"""A01d4",A1R,NB1-2,Dorsal,"20810718""",
20901068," ""MNs",T3R Motor Neurons,MNs,"20901068""",,
20901073," ""MNs",T3L Motor Neurons,MNs,"20901073""",,
